label	1st	2nd	3rd	4th	5th
กะหล่ำปลีผัดน้ำปลา	ทอดมันข้าวโพดกุ้งสับ (0.37)	หอยแมลงภู่นิวซีแลนด์ส่วนกะทะร้อน (0.36)	ปลากะพงทอดน้ำปลา (0.35)	ไก่มะนาว (0.34)	แกงจืดไข่น้ำ (0.33)
ข้าวราดกะเพราหมู	ผัดผักรวมมิตรกุ้ง (0.53)	กาแฟร้อน (0.44)	น้ำส้มคั้น (0.40)	ต้มข่ากุ้ง (0.40)	ปลากะพงทอดน้ำปลา (0.33)
ปอเปี๊ยะบานาน่าลีฟ	น้ำแตงโมปั่น (0.45)	ไก่มะนาว (0.40)	ยำชะพลูกรอบ (0.37)	ยำปลาดุกฟู (0.29)	แกงส้มปลาช่อน ทอด (0.28)
ส้มตำไทย	ซี่โครงหมูทอดกระเทียมพริกไทย (0.39)	น้ำเก็กฮวยรสน้ำผึ้ง (0.36)	ข้าวราดกะเพราเนื้อปลากะพง (0.35)	ผัดผักบุ้งไฟแดง (0.35)	โรตีแกงเขียวหวานไก่ (0.27)
ไข่พะโล้	ไอศครีมกะทิสด (0.36)	ข้าวต้มกระดูกหมู (0.30)	ไก่ห่อใบเตย (0.27)	กะเพราปลาหมึก (0.26)	ยำเนื้อออสเตรเลียย่าง (0.26)
ไก่มะนาว	ยำชะพลูกรอบ (0.50)	เนื้อปูผัดผงกะหรี่ (0.49)	แกงส้มชะอมไข่กุ้ง (0.46)	ปลากะพงทอดน้ำปลา (0.43)	ปอเปี๊ยะบานาน่าลีฟ (0.40)
ข้าวผัดเจ	ต้มยำเห็ดใส่ยอดมะพร้าวเจ (0.52)	ชาไทย (0.51)	เส้นหมี่ผัดกะเฉดเจ (0.46)	ต้มข่าเห็ดเจ (0.44)	เต้าหู้ผัดพริกกระเทียม (0.42)
ต้มยำเห็ดใส่ยอดมะพร้าวเจ	ข้าวผัดเจ (0.52)	ชาไทย (0.48)	น้ำมะพร้าว (0.38)	มัสมั่นไก่ (0.37)	เต้าหู้ผัดพริกกระเทียม (0.37)
ผัดกะเพราเห็ดเจ	แกงจืดเต้าหู้วุ้นเส้น สาหร่ายเจ (0.80)	ยำถั่วพลู (0.44)	เมี่ยงเห็ด (0.27)	แพนงไก่ (0.25)	กะเพราไก่ (0.25)
ผัดผักรวมมิตรเจ	กะเพราหมูกรอบเจ (0.78)	แกงเขียวหวานยอดมะพร้าวเจ (0.73)	ทอดมันข้าวโพดเจ (0.70)	เส้นหมี่ผัดกะเฉดเจ (0.28)	ต้มข่าเห็ดเจ (0.26)
เต้าหู้น้ำแดงเจ	ต้มข่าเห็ดเจ (0.58)	ข้าวหน้าปลาหมึกทอดกระเทียม (0.43)	หมูกรอบเจคั่วพริกเกลือ (0.43)	แกงจืดเต้าหู้สาหร่ายเจ (0.40)	ถั่วแขกผัดกาน่าฉ่ายเจ (0.32)
เนื้อปูผัดผงกะหรี่	ไก่มะนาว (0.49)	ยำชะพลูกรอบ (0.38)	แกงเขียวหวานลูกชิ้นปลากราย (0.37)	ผัดผักบุ้งไฟแดง (0.36)	ต้มยำเห็ดเจ (0.36)
ต้มแซบกระดูกหมูอ่อน	ทอดมันข้าวโพดกุ้งสับ (0.31)	น้ำใบเตย (0.30)	ยำเห็ดเข็มทอง (0.28)	ไก่ผัดเม็ดมะม่วงหิมพานต์ (0.28)	ชาจีน (0.27)
