label	1st	2nd	3rd	4th	5th
กะหล่ำปลีผัดน้ำปลา	ปลากะพงทอดน้ำปลา (0.91)	ข้าวผัดหนำเลี้ยบ (0.90)	กุ้งผัดหนำเลี๊ยบ (0.90)	น้ำปลาเห็ดฟาง (0.90)	ข้าวผัดผงกระหรี่ปลาหมึก (0.90)
ข้าวราดกะเพราหมู	ข้าวราดกะเพราหมูชาบู (0.98)	ข้าวราดกะเพราหมูกรอบ (0.98)	ข้าวราดกะเพราปลาหมึก (0.98)	ข้าวราดกะเพรากุ้ง (0.97)	ข้าวราดกะเพราไก่ (0.96)
ปอเปี๊ยะบานาน่าลีฟ	ปลาช่อนนึ่งมะนาว (0.90)	เนื้อปลากะพงนึ่งมะนาว (0.89)	พล่าปลาช่อน (0.89)	มะพร้าวอ่อนหวานเย็น (0.89)	น้ำปลาเห็ดฟาง (0.89)
ส้มตำไทย	ไข่ตุ๋นต้มยำทะเลหม้อไฟ (0.89)	ต้มยำไก่ (0.88)	ส้มตำไข่เค็ม (0.86)	ส้มตำเจ (0.85)	ต้มยำเจ (0.85)
ไข่พะโล้	ต้มข่าเนื้อปลากะพง (0.82)	ไข่ตุ๋นต้มยำทะเลหม้อไฟ (0.81)	ต้มข่าไก่ (0.81)	พล่ากุ้งใหญ่ (0.81)	ข้าวราดกะเพราไก่ (0.81)
ไก่มะนาว	มะม่วงกวน (0.91)	ปลาหมึกนึ่งมะนาว (0.90)	มะม่วงมะพร้าวปั่น (0.90)	ปลากะพงนึ่งมะนาว (0.89)	เนื้อปลากะพงนึ่งมะนาว (0.89)
ข้าวผัดเจ	ข้าวผัดทะเล (0.93)	เต้าหู้ผัดถั่วงอกเจ (0.92)	ผัดคะน้าเจ (0.91)	ข้าวผัดไข่ (0.91)	ข้าวผัดเขียวหวานไก่ (0.91)
ต้มยำเห็ดใส่ยอดมะพร้าวเจ	แกงเผ็ดยอดมะพร้าวเจ (0.94)	แกงเผ็ดยอดมะพร้าวหมู (0.94)	ต้มยำกุ้ง ยอดมะพร้าวอ่อน (0.93)	แกงเผ็ดยอดมะพร้าวกุ้ง (0.93)	ต้มยำเห็ดเจ (0.92)
ผัดกะเพราเห็ดเจ	ผัดกะเพราเจ (0.97)	ผัดเห็ดรวมเจ (0.94)	เต้าหู้ผัดกะเพราเจ (0.94)	แกงเผ็ดยอดมะพร้าวเจ (0.92)	เส้นหมี่ผัดกะเฉดเจ (0.91)
ผัดผักรวมมิตรเจ	ผัดผักรวมมิตร (0.98)	ผัดผักรวมมิตรหมู (0.96)	ผัดผักรวมมิตรกุ้ง (0.95)	ผัดผักรวมมิตรหมูกรอบ (0.94)	ข้าวผัดอเมริกัน (0.91)
เต้าหู้น้ำแดงเจ	เต้าหู้น้ำแดง (0.98)	แกงจืดเต้าหู้วุ้นเส้น สาหร่ายเจ (0.95)	แกงจืดเต้าหู้ วุ้นเส้น หมูสับ (0.94)	เต้าหู้ทอดเจ (0.93)	แกงจืดเต้าหู้สาหร่ายเจ (0.93)
