label	1st	2nd	3rd	4th	5th
กะหล่ำปลีผัดน้ำปลา	หมูกรอบผัดพริกเกลือ (0.88)	เต้าหู้ผัดพริกกระเทียม (0.87)	ถั่วฝักยาวผัดพริกขิงหมูกรอบ (0.86)	ปลาหมึกผัดกระเทียม (0.85)	ปลาหมึกผัดไข่เค็ม (0.84)
ข้าวราดกะเพราหมู	ข้าวราดกะเพราหมูชาบู (0.96)	ข้าวราดกะเพราไก่ (0.95)	ข้าวราดกะเพราหมูกรอบ (0.95)	ข้าวราดกะเพรากุ้ง (0.94)	ข้าวราดกะเพราปลาหมึก (0.94)
ปอเปี๊ยะบานาน่าลีฟ	ถั่วแขกผัดกาน่าฉ่ายเจ (0.61)	ข้าวผัดเจ (0.51)	ปอเปี๊ยะทอดเจ (0.49)	ขนมผักกาดเจ (0.49)	ห่อหมกเจ (0.48)
ส้มตำไทย	ชาไทย (0.65)	เฉาก๊วย ชาไทย (0.65)	ไอศครีมชาไทย (0.63)	ส้มตำไข่เค็ม (0.57)	ยำวุ้นเส้นพม่า (0.52)
ไข่พะโล้	ข้าวผัดไข่ (0.86)	ผัดไทยห่อไข่ (0.79)	แกงส้มชะอมไข่ (0.77)	สลัดไข่ (0.76)	แกงส้มชะอมไข่กุ้ง (0.76)
ไก่มะนาว	กะเพราไก่ (0.81)	แกงป่าไก่ (0.79)	น้ำผึ้งมะนาว (0.78)	มัสมั่นไก่ (0.78)	ต้มข่าไก่ (0.78)
ข้าวผัดเจ	ผัดกะเพราเจ (0.93)	แกงเขียวหวานเจ (0.91)	ห่อหมกเจ (0.88)	ต้มยำเจ (0.88)	ผัดขนมผักกาดเจ (0.88)
ต้มยำเห็ดใส่ยอดมะพร้าวเจ	แกงเขียวหวานยอดมะพร้าวเจ (0.82)	แกงเผ็ดยอดมะพร้าวเจ (0.81)	ต้มยำเห็ดเจ (0.77)	ยำเห็ดฟางเจ (0.76)	แกงเผ็ดยอดมะพร้าวหมู (0.75)
ผัดกะเพราเห็ดเจ	ต้มข่าเห็ดเจ (0.97)	ต้มยำเห็ดเจ (0.93)	ยำเห็ดฟางเจ (0.88)	เต้าหู้ผัดกะเพราเจ (0.85)	ผัดกะเพราเจ (0.82)
ผัดผักรวมมิตรเจ	ผัดผักบุ้ง เจ (0.90)	ผัดผักรวมมิตร (0.90)	เต้าหู้ผัดถั่วงอกเจ (0.88)	ผัดคะน้าเจ (0.88)	ผัดผักรวมมิตรหมูกรอบ (0.88)
เต้าหู้น้ำแดงเจ	เต้าหู้น้ำแดง (0.89)	น้ำแดงมะนาวโซดา (0.73)	แกงจืดเต้าหู้สาหร่ายเจ (0.70)	แกงจืดเต้าหู้วุ้นเส้น สาหร่ายเจ (0.69)	เต้าหู้ทอดเจ (0.68)
เนื้อปูผัดผงกะหรี่	เนื้อปูผัดพริกไทยดำ (0.90)	กุ้งผัดผงกะหรี่ (0.90)	ปูนิ่มผัดผงกระหรี่ (0.86)	ไข่เจียวเนื้อปู (0.86)	หอยแมลงภู่นิวซีแลนด์ผัดผงกะหรี่ (0.83)
ต้มแซบกระดูกหมูอ่อน	ต้มแซ่บกระดูกหมู (0.93)	ต้มแซ่บหมูนุ่ม (0.83)	ข้าวต้มกระดูกหมู (0.81)	ต้มแซ่บหมูเด้ง (0.77)	แกงป่าหมู (0.71)
ผัดผักรวมมิตร	ผัดผักรวมมิตรหมูกรอบ (0.97)	ผัดผักรวมมิตรกุ้ง (0.95)	ผัดผักรวมมิตรหมู (0.95)	ผัดผักรวมมิตรเจ (0.90)	ถั่วฝักยาวผัดพริกขิงหมูกรอบ (0.84)
ลาบทอด	ปลาช่อนทอดส้มตำ (0.85)	ลาบทอดเจ (0.84)	แกงส้มปลาช่อน ทอด (0.84)	ปลาทูทอด (0.83)	ผัดไทยเกี๊ยวทอด (0.80)
หมูสะเต๊ะ	แกงป่าหมู (0.92)	แกงเขียวหวานหมู (0.91)	หมูแดดเดียว (0.89)	ข้าวผัดหมู (0.89)	ข้าวผัดเขียวหวานหมู (0.88)
เมี่ยงคำ	ส้มตำไข่เค็ม (0.63)	เมี่ยงชะพลู (0.62)	ข้าวผัดน้ำพริกเผาเนิ้อ (0.61)	ปอเปี๊ยะข้าวเหนียวไก่ทอด (0.60)	แกงจืดไข่น้ำ (0.59)
ยำชะพลูกรอบ	ยำผักบุ้งกรอบ (0.93)	ยำผักบุ้งกรอบเจ (0.81)	ผัดมะกะโรนีขี้เมากะเพรากรอบหมู (0.75)	ยำกุนเชียง (0.75)	ปลากะพงทอดกรอบ (0.71)
ปลาหมึกนึ่งมะนาว	ปลาช่อนนึ่งมะนาว (0.93)	ปลากะพงนึ่งมะนาว (0.91)	กุ้งนึ่งกระเทียม (0.88)	เนื้อปลากะพงนึ่งมะนาว (0.87)	ปลากะพงนึ่งซีอิ๊ว (0.81)
เส้นหมี่ผัดกะเฉด	เส้นหมี่ผัดกะเฉดหมู (0.96)	เส้นหมี่ผัดกะเฉดกุ้ง (0.96)	เส้นหมี่ผัดกะเฉดไก่ (0.95)	เส้นหมี่ผัดกะเฉดทะเล (0.93)	ผัดผักกะเฉด (0.92)
กต.ราดหน้าหมูนุ่ม	กต.ราดหน้าเนื้อ (0.88)	กต.ผัดขี้เมาหมู (0.87)	กต.ราดหน้าไก่ (0.87)	กต.ราดหน้าปลาหมึก (0.86)	กต.ราดหน้ากุ้ง (0.85)
ข้าวผัดกุนเชียง	ข้าวผัดหนำเลี้ยบ (0.93)	ข้าวผัดน้ำพริกเผาเนิ้อ (0.90)	ข้าวผัดน้ำพริกเผาหมู (0.87)	ข้าวผัดเขียวหวานหมู (0.86)	ข้าวผัดปลาหมึก (0.85)
ข้าวผัดซีอิ๊วหมู	ข้าวผัดซีอิ๊วไก่ (0.93)	ข้าวผัดน้ำพริกเผาหมู (0.93)	ข้าวผัดหมู (0.92)	ข้าวผัดเขียวหวานหมู (0.91)	ข้าวผัดซีอิ๊วกุ้ง (0.91)
ข้าวผัดผงกระหรี่ปลาหมึก	ปลาหมึกผัดผงกระหรี่ (0.97)	ข้าวผัดผงกระหรี่กุ้ง (0.97)	ข้าวผัดผงกระหรี่ไก่ (0.95)	ข้าวผัดผงกระหรี่หมู (0.95)	ปูนิ่มผัดผงกระหรี่ (0.87)
ข้าวผัดพริกสดปลาหมึก	ข้าวผัดพริกสดกุ้ง (0.96)	ข้าวผัดพริกสดไก่ (0.93)	ข้าวผัดพริกสดหมู (0.93)	แกงเลียงกุ้งสด (0.85)	ยำคะน้ากุ้งสด (0.85)
