label	1st	2nd	3rd	4th	5th
กะหล่ำปลีผัดน้ำปลา	ถั่วฝักยาวผัดพริกขิงหมูกรอบ (0.96)	ผัดผักบุ้งไฟแดง (0.94)	หมูกรอบผัดพริกเกลือ (0.93)	ปลาหมึกผัดไข่เค็ม (0.93)	ผัดผักรวมมิตร (0.91)
ข้าวราดกะเพราหมู	ข้าวราดกะเพราหมูชาบู (1.00)	ข้าวราดกะเพราไก่ (0.94)	ข้าวราดกะเพราหมูกรอบ (0.93)	ข้าวราดกะเพราปลาหมึก (0.92)	ข้าวราดกะเพรากุ้ง (0.91)
ปอเปี๊ยะบานาน่าลีฟ	ถั่วแขกผัดกาน่าฉ่ายเจ (0.57)	ข้าวผัดเจ (0.51)	ข้าวผัดซีอิ้วเจ (0.51)	แกงจืดเต้าหู้สาหร่ายเจ (0.51)	แกงจืดเต้าหู้วุ้นเส้น สาหร่ายเจ (0.50)
ส้มตำไทย	ส้มตำไข่เค็ม (0.73)	ส้มตำเคลกรอบ (0.62)	ไก่ทอด/ส้มตำ/ข้าวเหนียว (0.59)	เฉาก๊วย ชาไทย (0.57)	ไอศครีมชาไทย (0.56)
ไข่พะโล้	ผัดไทยห่อไข่ (0.86)	สลัดไข่ (0.83)	ข้าวผัดไข่ (0.81)	แกงส้มชะอมไข่ (0.80)	ไข่ชะอมทอด 7 ชิ้น (0.78)
ไก่มะนาว	แกงป่าไก่ (0.86)	มัสมั่นไก่ (0.86)	ต้มข่าไก่ (0.85)	กะเพราไก่ (0.84)	แกงเขียวหวานไก่ (0.83)
ข้าวผัดเจ	ข้าวผัดซีอิ้วเจ (1.00)	แกงเขียวหวานเจ (0.92)	เต้าหู้ผัดกะเพราเจ (0.92)	ต้มยำเจ (0.91)	ผัดกะเพราเจ (0.90)
ต้มยำเห็ดใส่ยอดมะพร้าวเจ	แกงเขียวหวานยอดมะพร้าวเจ (0.90)	ต้มยำเห็ดเจ (0.89)	แกงเผ็ดยอดมะพร้าวเจ (0.88)	ยำเห็ดฟางเจ (0.86)	ผัดกะเพราเห็ดเจ (0.83)
ผัดกะเพราเห็ดเจ	ต้มข่าเห็ดเจ (0.99)	ต้มยำเห็ดเจ (0.96)	เห็ดสี่สหายเจ (0.95)	ยำเห็ดฟางเจ (0.92)	เต้าหู้ผัดกะเพราเจ (0.89)
ผัดผักรวมมิตรเจ	ผัดผักสี่สหายเจ (0.97)	ผัดผักบุ้ง เจ (0.95)	เต้าหู้ผัดถั่วงอกเจ (0.94)	ผัดคะน้าเจ (0.94)	ผัดวุ้นเส้นดอกไม้จีนเจ (0.93)
เต้าหู้น้ำแดงเจ	เต้าหู้น้ำแดง (0.78)	แกงจืดเต้าหู้สาหร่ายเจ (0.78)	แกงจืดเต้าหู้วุ้นเส้น สาหร่ายเจ (0.76)	เต้าหู้ผัดกะเพราเจ (0.76)	เต้าหู้และเผือกทอดเจ (0.74)
เนื้อปูผัดผงกะหรี่	เนื้อปูผัดพริกไทยดำ (0.95)	ปูนิ่มผัดผงกระหรี่ (0.88)	ไข่เจียวเนื้อปู (0.88)	เนื้อออสเตรเลียผัดน้ำมันหอย (0.87)	ข้าวผัดผงกระหรี่เนื้อ (0.87)
ต้มแซบกระดูกหมูอ่อน	ต้มแซ่บกระดูกหมู (0.98)	ข้าวต้มกระดูกหมู (0.94)	ต้มแซ่บหมูนุ่ม (0.92)	ต้มแซ่บหมูเด้ง (0.92)	แกงป่าหมู (0.89)
ผัดผักรวมมิตร	ผัดผักรวมมิตรหมูกรอบ (0.98)	ผัดผักรวมมิตรหมู (0.93)	ผัดผักรวมมิตรกุ้ง (0.93)	กะหล่ำปลีผัดน้ำปลา (0.91)	ถั่วฝักยาวผัดพริกขิงหมูกรอบ (0.91)
