label	1st	2nd	3rd	4th	5th
กะหล่ำปลีผัดน้ำปลา	ถั่วฝักยาวผัดพริกขิงหมูกรอบ (0.92)	ผัดผักบุ้งไฟแดง (0.89)	หมูกรอบผัดพริกเกลือ (0.87)	ปลาหมึกผัดไข่เค็ม (0.86)	ผัดผักรวมมิตร (0.83)
ข้าวราดกะเพราหมู	ข้าวราดกะเพราหมูชาบู (1.00)	ข้าวราดกะเพราไก่ (0.87)	ข้าวราดกะเพราหมูกรอบ (0.87)	ข้าวราดกะเพราปลาหมึก (0.84)	ข้าวราดกะเพรากุ้ง (0.82)
ปอเปี๊ยะบานาน่าลีฟ	ถั่วแขกผัดกาน่าฉ่ายเจ (0.15)	ข้าวผัดเจ (0.03)	ข้าวผัดซีอิ้วเจ (0.02)	แกงจืดเต้าหู้สาหร่ายเจ (0.02)	แกงจืดเต้าหู้วุ้นเส้น สาหร่ายเจ (0.00)
ส้มตำไทย	ส้มตำไข่เค็ม (0.46)	ส้มตำเคลกรอบ (0.24)	ไก่ทอด/ส้มตำ/ข้าวเหนียว (0.17)	เฉาก๊วย ชาไทย (0.14)	ไอศครีมชาไทย (0.12)
ไข่พะโล้	ผัดไทยห่อไข่ (0.73)	สลัดไข่ (0.66)	ข้าวผัดไข่ (0.62)	แกงส้มชะอมไข่ (0.61)	ไข่ชะอมทอด 7 ชิ้น (0.55)
ไก่มะนาว	แกงป่าไก่ (0.72)	มัสมั่นไก่ (0.72)	ต้มข่าไก่ (0.70)	กะเพราไก่ (0.69)	แกงเขียวหวานไก่ (0.65)
ข้าวผัดเจ	ข้าวผัดซีอิ้วเจ (0.99)	แกงเขียวหวานเจ (0.84)	เต้าหู้ผัดกะเพราเจ (0.83)	ต้มยำเจ (0.83)	ผัดกะเพราเจ (0.80)
ต้มยำเห็ดใส่ยอดมะพร้าวเจ	แกงเขียวหวานยอดมะพร้าวเจ (0.80)	ต้มยำเห็ดเจ (0.78)	แกงเผ็ดยอดมะพร้าวเจ (0.77)	ยำเห็ดฟางเจ (0.72)	ผัดกะเพราเห็ดเจ (0.67)
ผัดกะเพราเห็ดเจ	ต้มข่าเห็ดเจ (0.99)	ต้มยำเห็ดเจ (0.92)	เห็ดสี่สหายเจ (0.90)	ยำเห็ดฟางเจ (0.83)	เต้าหู้ผัดกะเพราเจ (0.77)
ผัดผักรวมมิตรเจ	ผัดผักสี่สหายเจ (0.93)	ผัดผักบุ้ง เจ (0.90)	เต้าหู้ผัดถั่วงอกเจ (0.89)	ผัดคะน้าเจ (0.89)	ผัดวุ้นเส้นดอกไม้จีนเจ (0.87)
เต้าหู้น้ำแดงเจ	เต้าหู้น้ำแดง (0.56)	แกงจืดเต้าหู้สาหร่ายเจ (0.55)	แกงจืดเต้าหู้วุ้นเส้น สาหร่ายเจ (0.51)	เต้าหู้ผัดกะเพราเจ (0.51)	เต้าหู้และเผือกทอดเจ (0.47)
เนื้อปูผัดผงกะหรี่	เนื้อปูผัดพริกไทยดำ (0.90)	ปูนิ่มผัดผงกระหรี่ (0.76)	ไข่เจียวเนื้อปู (0.76)	เนื้อออสเตรเลียผัดน้ำมันหอย (0.75)	ข้าวผัดผงกระหรี่เนื้อ (0.73)
ต้มแซบกระดูกหมูอ่อน	ต้มแซ่บกระดูกหมู (0.96)	ข้าวต้มกระดูกหมู (0.88)	ต้มแซ่บหมูนุ่ม (0.85)	ต้มแซ่บหมูเด้ง (0.84)	แกงป่าหมู (0.78)
