label	1st	2nd	3rd	4th	5th
กะหล่ำปลีผัดน้ำปลา	หมูกรอบผัดพริกเกลือ (0.82)	ถั่วฝักยาวผัดพริกขิงหมูกรอบ (0.82)	เต้าหู้ผัดพริกกระเทียม (0.80)	ปลาหมึกผัดไข่เค็ม (0.78)	ปลาหมึกผัดกระเทียม (0.77)
ข้าวราดกะเพราหมู	ข้าวราดกะเพราหมูชาบู (0.96)	ข้าวราดกะเพราไก่ (0.88)	ข้าวราดกะเพราหมูกรอบ (0.88)	ข้าวราดกะเพราปลาหมึก (0.85)	ข้าวราดกะเพรากุ้ง (0.84)
ปอเปี๊ยะบานาน่าลีฟ	ถั่วแขกผัดกาน่าฉ่ายเจ (0.21)	คาปูชิโน่ (0.06)	ข้าวผัดเจ (0.02)	สลัดแฮม (0.00)	ข้าวผัดกระเทียม (0.00)
ส้มตำไทย	เฉาก๊วย ชาไทย (0.25)	ชาไทย (0.24)	ส้มตำไข่เค็ม (0.24)	ไอศครีมชาไทย (0.22)	ยำวุ้นเส้นพม่า (0.04)
ไข่พะโล้	ข้าวผัดไข่ (0.69)	ผัดไทยห่อไข่ (0.64)	ไข่ชะอมทอด 7 ชิ้น (0.58)	สลัดไข่ (0.57)	แกงส้มชะอมไข่ (0.57)
ไก่มะนาว	แกงป่าไก่ (0.67)	กะเพราไก่ (0.67)	มัสมั่นไก่ (0.65)	ต้มข่าไก่ (0.65)	แกงเขียวหวานไก่ (0.62)
ข้าวผัดเจ	ข้าวผัดซีอิ้วเจ (0.92)	ผัดกะเพราเจ (0.84)	แกงเขียวหวานเจ (0.84)	ต้มยำเจ (0.82)	เต้าหู้ผัดกะเพราเจ (0.81)
ต้มยำเห็ดใส่ยอดมะพร้าวเจ	แกงเขียวหวานยอดมะพร้าวเจ (0.71)	แกงเผ็ดยอดมะพร้าวเจ (0.68)	ต้มยำเห็ดเจ (0.66)	ยำเห็ดฟางเจ (0.63)	ผัดกะเพราเห็ดเจ (0.54)
ผัดกะเพราเห็ดเจ	ต้มข่าเห็ดเจ (0.97)	ต้มยำเห็ดเจ (0.90)	ยำเห็ดฟางเจ (0.81)	เต้าหู้ผัดกะเพราเจ (0.76)	ผัดกะเพราเจ (0.70)
ผัดผักรวมมิตรเจ	ผัดผักบุ้ง เจ (0.87)	เต้าหู้ผัดถั่วงอกเจ (0.85)	ผัดคะน้าเจ (0.85)	ผัดวุ้นเส้นดอกไม้จีนเจ (0.83)	ผัดขนมผักกาดเจ (0.82)
เต้าหู้น้ำแดงเจ	เต้าหู้น้ำแดง (0.65)	แกงจืดเต้าหู้สาหร่ายเจ (0.49)	แกงจืดเต้าหู้วุ้นเส้น สาหร่ายเจ (0.45)	เต้าหู้ผัดกะเพราเจ (0.44)	เต้าหู้ทอดเจ (0.43)
เนื้อปูผัดผงกะหรี่	เนื้อปูผัดพริกไทยดำ (0.86)	กุ้งผัดผงกะหรี่ (0.76)	ปูนิ่มผัดผงกระหรี่ (0.75)	ไข่เจียวเนื้อปู (0.74)	ข้าวผัดผงกระหรี่เนื้อ (0.71)
ต้มแซบกระดูกหมูอ่อน	ต้มแซ่บกระดูกหมู (0.89)	ต้มแซ่บหมูนุ่ม (0.74)	ข้าวต้มกระดูกหมู (0.73)	ต้มแซ่บหมูเด้ง (0.66)	แกงป่าหมู (0.57)
ผัดผักรวมมิตร	ผัดผักรวมมิตรหมูกรอบ (0.96)	ผัดผักรวมมิตรหมู (0.88)	ผัดผักรวมมิตรกุ้ง (0.88)	ถั่วฝักยาวผัดพริกขิงหมูกรอบ (0.77)	กะหล่ำปลีผัดน้ำปลา (0.75)
ลาบทอด	ปลาช่อนทอดส้มตำ (0.77)	ปลาทูทอด (0.76)	แกงส้มปลาช่อน ทอด (0.74)	ผัดไทยเกี๊ยวทอด (0.70)	ข้าวผัดน้ำพริกกะปิปลาทูทอด (0.63)
หมูสะเต๊ะ	แกงป่าหมู (0.92)	หมูแดดเดียว (0.89)	แกงเขียวหวานหมู (0.89)	ผัดไทยหมู (0.87)	กต.ผัดแกงเขียวหวานหมู (0.86)
เมี่ยงคำ	ส้มตำไข่เค็ม (0.25)	เมี่ยงชะพลู (0.24)	ข้าวผัดน้ำพริกเผาเนิ้อ (0.21)	ปอเปี๊ยะข้าวเหนียวไก่ทอด (0.20)	แกงจืดไข่น้ำ (0.18)
ยำชะพลูกรอบ	ยำผักบุ้งกรอบ (0.90)	ยำกุนเชียง (0.58)	ยำผักบุ้งกรอบเจ (0.54)	ผัดมะกะโรนีขี้เมากะเพรากรอบกุ้ง (0.53)	ยำตะไคร้ (0.51)
ปลาหมึกนึ่งมะนาว	ปลาช่อนนึ่งมะนาว (0.86)	ปลากะพงนึ่งมะนาว (0.77)	กุ้งนึ่งกระเทียม (0.72)	เนื้อปลากะพงนึ่งมะนาว (0.69)	แกงส้มปลาช่อน นึ่ง (0.59)
เส้นหมี่ผัดกะเฉด	เส้นหมี่ผัดกะเฉดไก่ (0.88)	เส้นหมี่ผัดกะเฉดหมู (0.88)	เส้นหมี่ผัดกะเฉดกุ้ง (0.88)	ผัดผักกะเฉด (0.88)	เส้นหมี่ผัดกะเฉดทะเล (0.86)
ก๋วยเตี๋ยวราดหน้าหมูนุ่ม	กต.ผัดขี้เมาหมู (0.84)	กต.ราดหน้าไก่ (0.76)	กต.ราดหน้าปลาหมึก (0.75)	ผัดไทยหมู (0.73)	กต.ราดหน้าเนื้อ (0.72)
ข้าวผัดกุนเชียง	ข้าวผัดหมูยอ (0.93)	ข้าวผัดหนำเลี้ยบ (0.92)	ข้าวผัดน้ำพริกเผาเนิ้อ (0.88)	ข้าวผัดน้ำพริกเผาปลาหมึก (0.81)	ข้าวผัดปลาหมึก (0.78)
ข้าวผัดซีอิ๊วหมู	กต.ผัดซีอิ๊วหมู (0.92)	ข้าวผัดน้ำพริกเผาหมู (0.90)	ข้าวผัดหมู (0.89)	ข้าวผัดเขียวหวานหมู (0.88)	ข้าวผัดซีอิ๊วไก่ (0.84)
ข้าวผัดผงกระหรี่ปลาหมึก	ข้าวผัดผงกระหรี่กุ้ง (0.91)	ปลาหมึกผัดผงกระหรี่ (0.90)	ข้าวผัดผงกระหรี่ไก่ (0.88)	ข้าวผัดผงกระหรี่หมู (0.87)	ข้าวผัดผงกระหรี่เนื้อ (0.83)
ข้าวผัดพริกสดปลาหมึก	ข้าวผัดพริกสดกุ้ง (0.89)	ข้าวผัดพริกสดไก่ (0.86)	ข้าวผัดพริกสดหมู (0.84)	ข้าวผัดพริกสดเนื้อ (0.78)	ข้าวผัดน้ำพริกเผาปลาหมึก (0.77)
ข้าวผัดพริกสดหมู	ข้าวผัดพริกสดไก่ (0.88)	ข้าวผัดพริกสดปลาหมึก (0.84)	ข้าวผัดพริกสดกุ้ง (0.83)	ข้าวผัดน้ำพริกเผาหมู (0.81)	ข้าวผัดเขียวหวานหมู (0.80)
ข้าวผัดพริกสดไก่	ข้าวผัดพริกสดหมู (0.88)	ข้าวผัดพริกสดปลาหมึก (0.86)	ข้าวผัดพริกสดกุ้ง (0.83)	ข้าวผัดน้ำพริกเผาไก่ (0.79)	ข้าวผัดเขียวหวานไก่ (0.78)
ข้าวผัดเขียวหวานหมู	ข้าวผัดหมู (0.98)	ข้าวผัดน้ำพริกเผาหมู (0.96)	ข้าวผัดซีอิ๊วหมู (0.88)	กต.ผัดแกงเขียวหวานหมู (0.87)	แกงเขียวหวานหมู (0.85)
