label	1st	2nd	3rd	4th	5th
กะหล่ำปลีผัดน้ำปลา	เนื้อปลากะพงทอดพริกไทยดำ (0.97)	ยำไส้กรอก (0.97)	ยำชะพลูกรอบ (0.96)	ต้มยำเนื้อปลากะพง (0.96)	ปลากะพงแป๊ะซะ (0.95)
ข้าวราดกะเพราหมู	มะม่วงมะพร้าวปั่น (1.00)	กต.ทะเลน้ำพริกเผา (0.99)	น้ำพริกลงเรือ (0.99)	น้ำมะตูม (0.99)	น้ำกระเจี๊ยบ (0.99)
ปอเปี๊ยะบานาน่าลีฟ	กต.ทรงเครื่อง (0.98)	ซี่โครงขลุกขลิก (0.96)	กต.หลอดทรงเครื่อง (0.94)	กต.เนื้อสับ (0.93)	กต.ผัดซีอิ๊วเจ (0.92)
ส้มตำไทย	ข้าวผัดไก่ (0.73)	ต้มยำไก่ (0.66)	กต.ราดหน้ากุ้ง (0.62)	กต.ราดหน้าไก่ (0.61)	ผัดผักบุ้งไฟแดง (0.61)
ไข่พะโล้	ต้มยำเจ (0.60)	ยำตะไคร้ (0.58)	สลัดปู (0.58)	ต้มยำไก่ (0.55)	น้ำขิง (0.54)
ไก่มะนาว	ข้าวผัดไก่ (0.70)	ส้มตำไทย (0.59)	กต.ราดหน้าไก่ (0.58)	ต้มยำไก่ (0.54)	หมูแดดเดียว (0.54)
ข้าวผัดเจ	ข้าวผัดอเมริกัน (0.81)	ข้าวผัดหมู (0.78)	น้ำผึ้งมะนาว (0.75)	น้ำมะนาว (0.73)	สลัดปู (0.72)
ต้มยำเห็ดใส่ยอดมะพร้าวเจ	กต.ผัดขี้เมากุ้ง (0.98)	น้ำพริกลงเรือ (0.97)	ข้าวราดกะเพราหมู (0.97)	ข้าวราดกะเพรากุ้ง (0.97)	มะม่วงมะพร้าวปั่น (0.97)
ผัดกะเพราเห็ดเจ	ผัดผักรวมมิตร (1.00)	ปูนิ่มผัดผงกระหรี่ (1.00)	เส้นหมี่ผัดกะเฉดทะเล (0.99)	ปูนิ่มผัดพริกไทยดำ (0.99)	เส้นหมี่ผัดกะเฉดหมู (0.99)
ผัดผักรวมมิตรเจ	เส้นหมี่ผัดกะเฉดกุ้ง (0.99)	เส้นหมี่ผัดกะเฉดไก่ (0.99)	เส้นหมี่ผัดกะเฉดหมู (0.99)	ปูนิ่มผัดพริกไทยดำ (0.99)	น้ำพริกหนุ่มหมูทอด (0.99)
เต้าหู้น้ำแดงเจ	ยำปลาหมึก (0.99)	ลาบไก่ (0.99)	แกงเลียงกุ้งสด (0.98)	ทอดมันข้าวโพดกุ้งสับ (0.97)	น้ำส้มปั่น (0.97)
เนื้อปูผัดผงกะหรี่	กุ้งผัดผงกะหรี่ (0.97)	ข้าวผัดผงกระหรี่ปลาหมึก (0.97)	ข้าวผัดผงกระหรี่กุ้ง (0.96)	ข้าวผัดผงกระหรี่หมู (0.95)	ปลาหมึกผัดกระเทียม (0.95)
ต้มแซบกระดูกหมูอ่อน	ต้มยำเนื้อปลากะพง (1.00)	ปลากะพงแป๊ะซะ (0.99)	ยำชะพลูกรอบ (0.99)	ยำผักกะเฉด (0.99)	แปะก๋วยกระปุก (0.97)
ผัดผักรวมมิตร	ผัดกะเพราเห็ดเจ (1.00)	ปูนิ่มผัดผงกระหรี่ (1.00)	ลาบวุ้นเส้นกุ้ง (0.99)	ปูนิ่มผัดพริกไทยดำ (0.99)	หมูทอดกระเทียมพริกไทย (0.99)
ลาบทอด	ข้าวหน้าไก่ทอดกระเทียม (0.99)	ข้าวหมูกรอบคั่วพริกเกลือ ไข่เป็ดดาว (0.98)	แกงจืดเต้าหู้วุ้นเส้น สาหร่ายเจ (0.98)	แกงเผ็ดยอดมะพร้าวไก่ (0.98)	แกงเผ็ดยอดมะพร้าวกุ้ง (0.98)
หมูสะเต๊ะ	หมูน้ำตก (1.00)	แพนงเนื้อ (1.00)	กะเพราไก่ (1.00)	ปลาช่อนแป๊ะซะ (1.00)	ผัดผักบุ้ง เจ (1.00)
เมี่ยงคำ	ข้าวผัดไก่ (0.60)	ส้มตำไทย (0.58)	ยำกุนเชียง (0.58)	ผัดผักบุ้งไฟแดง (0.57)	ข้าวหน้าไก่ (0.57)
ยำชะพลูกรอบ	ต้มยำเนื้อปลากะพง (1.00)	ต้มแซบกระดูกหมูอ่อน (0.99)	ปลากะพงแป๊ะซะ (0.99)	ยำผักกะเฉด (0.98)	แปะก๋วยกระปุก (0.97)
ปลาหมึกนึ่งมะนาว	ข้าวราดไข่เจียว (0.99)	ข้าวผัดเขียวหวานหมู (0.99)	เอ็นหมูน้ำแดง (0.98)	ข้าวผัดเขียวหวานไก่ (0.98)	หมี่ซั่วเจ (0.95)
