label	1st	2nd	3rd	4th	5th
ข้าวคอหมูทอด	เป็ปซี่ขวดเล็ก (0.78)	ข้าวหมูทอด (0.70)	ยำหอยนางรม (0.65)	ยำไข่แดงเค็ม (0.62)	ไส้ทอด (0.59)
ยำปลาแซลมอน	สามชั้นทอดน้ำปลา (0.66)	คอหมูทอด (0.52)	หอยนางรมทรงเครื่อง (0.49)	ต้มยำกุ้ง (0.48)	ยำปลาหมึก (0.45)
ยำไข่แมงดา	กุ้งแก้วแช่น้ำปลา (0.57)	ยำปลาหมึก (0.53)	ยำรามหอย (0.48)	ยำคอหมูทอด (0.41)	หอยนางรมทรงเครื่อง (0.40)
คอหมูทอด	ยำหอยแครง (0.53)	ยำปลาแซลมอน (0.52)	ปลาหมึก (0.51)	เป๊ปซี่ขนาด1ลิตร (0.42)	ยำปลาหมึก (0.41)
สามชั้นทอดน้ำปลา	ยำปลาแซลมอน (0.66)	ยำสามชั้นทอด (0.58)	ปีกไก่ทอด (0.55)	ยำหอยนางรม (0.54)	ไส้ทอด (0.53)
เป็ปซี่ขวดเล็ก	ข้าวหมูทอด (0.79)	ข้าวคอหมูทอด (0.78)	ยำไข่แดงเค็ม (0.70)	ยำหอยนางรม (0.62)	ยำรวมบก (0.46)
ยำกุ้งทูโทน	ต้มยำซุปเปอร์ตีนไก่ (0.39)	ยำสามชั้นทอด (0.34)	ยำปลาแซลมอนกุ้งสด (0.33)	ยำหมูยอ (0.32)	ข้าวหมูทอด (0.31)
ยำหมูยอ	ชาอู่หลง (0.62)	ยำปลาแซลมอนกุ้งสด (0.57)	ยำสามชั้นทอด (0.57)	ยำไข่แดงเค็ม (0.56)	ข้าวคอหมูทอด (0.50)
ปีกไก่ทอด	เป๊ปซี่ขนาด1ลิตร (0.68)	แซลมอนดองซีอิ๊ว (0.65)	ยำหอยแครง (0.61)	ยำสามชั้นทอด (0.58)	หอยนางรมทรงเครื่อง (0.57)
ยำกุ้งสด	ยำไข่ปลาหมึก (0.74)	ไส้ทอด (0.64)	ยำคอหมูทอด (0.61)	เป๊ปซี่ขนาด1ลิตร (0.59)	ยำรวมบก (0.59)
ยำสามชั้นทอด	เป๊ปซี่ขนาด1ลิตร (0.64)	ยำหอยนางรม (0.63)	แซลมอนดองซีอิ๊ว (0.59)	ปีกไก่ทอด (0.58)	สามชั้นทอดน้ำปลา (0.58)
ยำหอยนางรม	กุ้งแช่นำปลา (0.67)	ข้าวคอหมูทอด (0.65)	ยำสามชั้นทอด (0.63)	เป็ปซี่ขวดเล็ก (0.62)	ข้าวหมูทอด (0.55)
ยำไข่แดงเค็ม	เป็ปซี่ขวดเล็ก (0.70)	ข้าวคอหมูทอด (0.62)	ชาอู่หลง (0.60)	ยำหมูยอ (0.56)	ข้าวหมูทอด (0.55)
ชาลิปตัน	ปูอัด (0.64)	ปูไข่ดองนึ่งนมสด (0.50)	ยำรามหอย (0.48)	กุ้งแก้วแช่น้ำปลา (0.45)	ต้มยำซุปเปอร์ตีนไก่ (0.45)
ยำคอหมูทอด	ยำไข่ปลาหมึก (0.81)	ยำกุ้งสด (0.61)	ไส้ทอด (0.61)	กุ้งแก้วแช่น้ำปลา (0.61)	เป๊ปซี่ขนาด1ลิตร (0.59)
แซลมอนดองซีอิ๊ว	เป๊ปซี่ขนาด1ลิตร (0.73)	หอยนางรมทรงเครื่อง (0.69)	ปีกไก่ทอด (0.65)	ต้มยำกุ้ง (0.60)	ยำสามชั้นทอด (0.59)
ยำรวมบก	ยำปูอัด (0.67)	ไส้ทอด (0.63)	ยำไข่ปลาหมึก (0.62)	เป๊ปซี่ขนาด1ลิตร (0.60)	ยำฮอทดอก (0.59)
เป๊ปซี่ขนาด1ลิตร	แซลมอนดองซีอิ๊ว (0.73)	ปีกไก่ทอด (0.68)	ยำหอยแครง (0.67)	ยำสามชั้นทอด (0.64)	กระหล่ำปีผัดน้ำปลา (0.63)
ยำไข่เยี่ยวม้า	ของหวาน (0.75)	ยำรวมบก (0.52)	ยำสามชั้นทอด (0.51)	เฟรนฟราย (0.51)	กุ้งแก้วแช่น้ำปลา (0.49)
ยำไส้ทอด	ยำข้าวโพดปลากรอบ (0.92)	ปีกไก่ทอด (0.53)	ของหวาน (0.29)	ยำไข่เยี่ยวม้า (0.27)	ยำรวมบก (0.21)
กุ้งดองซีอิ๊ว	คอหมูทอด (0.34)	ปูไข่ดองไม่ยำ (0.31)	ยำปลาแซลมอน (0.29)	สาหร่าย (0.28)	แซลมอนดองซีอิ๊ว (0.25)
ปูอัด	ชาลิปตัน (0.64)	ต้มยำซุปเปอร์ตีนไก่ (0.40)	กุ้งสด (0.37)	ไส้ทอด (0.32)	ข้าวคอหมูทอด (0.30)
ยำปูม้า สด/ลวก	ยำกุ้งลวก (0.64)	ข้าวหมูทอด (0.54)	หอยนางรมทรงเครื่อง (0.53)	กระหล่ำปีผัดน้ำปลา (0.51)	ปีกไก่ทอด (0.48)
ยำเล็บมือนาง	รวมทะเล (0.72)	ยำหมูยอไข่แดงเค็ม (0.53)	ปีกไก่ทอด (0.50)	ต้มยำซุปเปอร์ตีนไก่ (0.47)	สามชั้นทอดน้ำปลา (0.43)
หอยนางรมทรงเครื่อง	หอยแครงลวกจิ้ม (0.70)	แซลมอนดองซีอิ๊ว (0.69)	ต้มยำกุ้ง (0.66)	ยำหอยแครง (0.63)	กุ้งแก้วแช่น้ำปลา (0.59)
ยำปลาแซลมอนกุ้งสด	ชาอู่หลง (0.59)	ยำหมูยอ (0.57)	ยำหมูยอไข่แดงเค็ม (0.57)	ยำสามชั้นทอด (0.52)	น้ำสมุนไพร (0.50)
ไส้ทอด	ยำไข่ปลาหมึก (0.70)	ยำหอยแครง (0.69)	ยำฮอทดอก (0.65)	ยำกุ้งสด (0.64)	ยำรวมบก (0.63)
ต้มยำกุ้ง	ยำปลาหมึก (0.72)	หอยแครงลวกจิ้ม (0.69)	หอยนางรมทรงเครื่อง (0.66)	แซลมอนดองซีอิ๊ว (0.60)	ยำหมูยอไข่แดงเค็ม (0.55)
ยำปลาหมึก	ต้มยำกุ้ง (0.72)	ยำหอยแครง (0.54)	หอยนางรมทรงเครื่อง (0.54)	ยำไข่แมงดา (0.53)	ข้าวคอหมูทอด (0.52)
ยำไข่ปลาหมึก	ยำคอหมูทอด (0.81)	ยำกุ้งสด (0.74)	ไส้ทอด (0.70)	ยำฮอทดอก (0.65)	ยำรวมบก (0.62)
กุ้งแก้วแช่น้ำปลา	ยำรามหอย (0.66)	ยำคอหมูทอด (0.61)	หอยนางรมทรงเครื่อง (0.59)	ไส้ทอด (0.59)	ยำรวมบก (0.57)
กุ้งแช่นำปลา	ยำหอยนางรม (0.67)	ยำสามชั้นทอด (0.56)	สามชั้นทอดน้ำปลา (0.50)	หอยแครงลวกจิ้ม (0.49)	ต้มยำกุ้ง (0.46)
ไข่เยี่ยวม้า	ปูไข่ดองนึ่งนมสด (0.73)	มิรินด้ากรีนทรีน (0.70)	น้ำสมุนไพร (0.49)	ชาลิปตัน (0.40)	ยำปลาแซลมอนกุ้งสด (0.36)
น้ำมันเก่า	ยำปูม้า สด/ลวก (0.00)	หอยนางรมทรงเครื่อง (0.00)	ยำปลาแซลมอนกุ้งสด (0.00)	ไส้ทอด (0.00)	ต้มยำกุ้ง (0.00)
ยำข้าวโพดปลากรอบ	ยำไส้ทอด (0.92)	ปีกไก่ทอด (0.51)	ยำปูไข่ดอง (0.29)	ยำกุ้งสด (0.24)	ยำรวมบก (0.18)
มิร้นด้าสตรอเบอร์รี่	น้ำสมุนไพร (0.80)	นักเก็ต (0.73)	ยำหมูยอไข่แดงเค็ม (0.47)	ต้มยำซุปเปอร์ตีนไก่ (0.46)	ยำปลาแซลมอนกุ้งสด (0.41)
รวมทะเล	ยำเล็บมือนาง (0.72)	สามชั้นทอดน้ำปลา (0.50)	ปีกไก่ทอด (0.45)	ต้มยำซุปเปอร์ตีนไก่ (0.28)	ข้าวหมูทอด (0.26)
ยำกุ้งลวก	ยำปูม้า สด/ลวก (0.64)	กระหล่ำปีผัดน้ำปลา (0.54)	ไส้ทอด (0.54)	ยำหมูยอ (0.50)	ปีกไก่ทอด (0.49)
ยำหอยแครง	ไส้ทอด (0.69)	เป๊ปซี่ขนาด1ลิตร (0.67)	หอยนางรมทรงเครื่อง (0.63)	ปีกไก่ทอด (0.61)	ยำไข่ปลาหมึก (0.59)
ข้าวหมูทอด	เป็ปซี่ขวดเล็ก (0.79)	ข้าวคอหมูทอด (0.70)	ยำหอยนางรม (0.55)	ยำไข่แดงเค็ม (0.55)	ยำปูม้า สด/ลวก (0.54)
ต้มยำซุปเปอร์ตีนไก่	ยำหมูยอไข่แดงเค็ม (0.64)	น้ำสมุนไพร (0.60)	ไส้ทอด (0.59)	ยำรวมบก (0.56)	ยำไข่ปลาหมึก (0.55)
กุ้งสด	กุ้งสุก (0.68)	เล็บมือนาง (0.59)	ไส้ทอด (0.49)	ยำซั่วกุ้งสดหอยแครง (0.42)	ยำกุ้งสด (0.42)
หอยแครง	มิรินด้ากรีนทรีน (0.55)	ไส้ทอด (0.38)	ยำไข่แมงดา (0.33)	แซลมอนดองซีอิ๊ว (0.32)	ยำรวมบก (0.30)
ยำปูอัด	ยำรวมบก (0.67)	ยำไข่ปลาหมึก (0.57)	ยำกุ้งสด (0.55)	ยำสามชั้นทอด (0.53)	ยำฮอทดอก (0.52)
