label	1st	2nd	3rd	4th	5th
Hot Latte	ข้าวแกงกะหรี่ดั้งเดิม. (0.44)	สปาเก็ตตี้ขี้เมาไก่กรอบ (0.38)	Matcha Espresso (0.28)	Iced Vanilla White Coffee (0.26)	โรลแคลิฟอร์เนีย. (0.26)
cake apple	สลัดปลาทูน่าสด (0.91)	cake (0.30)	มัทฉะเอสเปรสโซ่เย็น (0.23)	ข้าวปลาแซลมอนย่างซัลซ่าอาโวคาโดแมงโก้ (0.16)	ผักโขมอบชีส (0.15)
Iced Matcha Latte	hot Water (0.37)	กุ้งฝอยทอดกรอบ. (0.28)	Lemonade Black Tea (0.28)	Honey Lemon (0.27)	Matcha Honey (0.24)
Lemonade Black Tea	Strawberry Milk Cream (0.58)	วนิลาไวท์คอฟฟี่เย็น (0.37)	ราเมงไก่ทอดโทริคัตสึ. (0.30)	Iced Matcha Latte (0.28)	ข้าวซูชิปลาทูน่า อโวคาโด (0.27)
โรลแซลมอนอโวคาโด ซอสเทอริยากิ	strawberry milk (0.38)	lemon honey soda (0.35)	lemon honey (0.35)	lemon black tea (0.35)	โรลแซลมอนพ่นไฟ ซอสไซเกียว. (0.34)
ข้าวไข่ข้นต้มยำ	Coconut Espresso (0.28)	มัทฉะลาเต้เย็น (0.27)	ข้าวไข่ข้นกะเพราหมูคุโรบูตะสันคอสไลด์ (0.22)	ข้าวผัดสไปซี่ซีฟู้ดไข่ข้นปลาแซลมอนย่าง (0.22)	ไก่บดย่าง (0.20)
สปาเก็ตตี้ไก่กรอบคั่วพริกเกลือ	Butterfly Pea Honey Lemon Frappe (0.42)	สปาเก็ตตี้ไวท์ซอสสไปซี่ปูอัดไข่กุ้ง (0.35)	ไก่ทอดอาม่า (0.29)	สปาเก็ตตี้ภูเขาไฟไข่กุ้ง (0.25)	Caramel Milk Frappe (0.23)
Carrot Cake	ข้าวหน้าหมูทอดทงคัตสึด้งตุ๋นไข่. (0.41)	ข้าวหน้าไก่ย่างราดซอสเทอริยากิ. (0.40)	Apple Almond Cake (0.38)	Iced Orange Soda (0.29)	Hummingbird Cake (0.25)
Matcha Refill	ข้าวแกงกะหรี่ปลาทอด. (0.43)	ข้าวหน้าหมูทอดทงคัตสึ. (0.33)	ต้มยำกุ้ง (0.27)	ข้าวซูชิแซลมอน~ปลาฮามาจิ~ปลาทูน่า (0.26)	โรลทูน่า อโวคาโด. (0.24)
สปาเก็ตตี้คาโบนาร่า	มิกซ์เบอรี่โยเกิร์ตสมูทตี้ (0.33)	ข้าวไข่ข้นกะเพราหมูคุโรบูตะสันคอสไลด์ (0.32)	ชามะนาวร้อน (0.28)	Pure peppermint tea (0.28)	เอสเปรสโซ่เย็น (0.28)
