label	1st	2nd	3rd	4th	5th
Big Sale 50%	C14 ผสม ไก่ทอดเกาหลี (0.32)	S04 ปลาทอดกรอบ รสเกลือกระเทียม (0.26)	C10 สะโพก ไก่ทอดเกาหลี (0.24)	A10 ไก่ป๊อปราดชีสซอส (0.23)	K15 ไก่ทอดเกาหลี (0.23)
ข้าวผัดกิมจิและแฮมไก่ทอด	N05 บะหมี่แห้งไก่ทอดชีส (0.66)	K11 ไก่ทอดเกาหลี (0.58)	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.45)	บะหมี่แห้งไก่ทอดรสเผ็ดและกิมจิ (0.45)	M02 ต๊อกบกกีชีส (0.43)
บะหมี่แห้งไก่ทอดรสเผ็ดและกิมจิ	A03 เฟรนช์ฟรายส์โรยผงโนริสาหร่าย และ ซาวครีม (0.73)	ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา (0.70)	D09 ซีทรัสโซดา (0.68)	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.65)	ข้าวไก่ทอดราดซอสเลม่อน ไข่ข้นลาวา (0.61)
ข้าวผัดกิมจิไก่ทอดชีส	ข้าวไก่ทอดลาบสาหร่ายกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม (0.79)	N09 บะหมี่เกี๊ยวมันดู ชุปกระดูกหมูข้น (0.60)	M03 ซุปกิมจิ (0.58)	R03 ข้าวไก่ทอดเทอริยากิมาโย (0.58)	1.ไก่ทอดดั๊กกังจอง รสคอร์นชีส (0.57)
ชีสต๊อกบกกี	D13 น้ำอัดลม 16 ออนซ์ (0.00)	N03 บะหมี่ผัดกิมจิปูอัดไข่กุ้ง (0.00)	N06 บะหมี่ แฮมและใส้กรอกชุปกระดูกหมูข้น (0.00)	A05 ลาวา/เฟรนช์ฟรายส์ (0.00)	A01 โรยชีส/เฟรนช์ฟรายส์ (0.00)
ข้าวผัดกิมจิไก่ทอดสามสี	ปีกไก่ทอดรสลาบ Size M (0.74)	S02 สลัดซีซ่าร์ปลาทอด (0.73)	N04 บะหมี่บิบิมบับ (0.71)	2.ไก่ทอดดั๊กกังจอง รสชีสซี่คอร์นชีส (0.70)	D10 น้ำบลูแอปเปิ่ลโซดา (0.56)
บะหมี่แห้งไก่ทอดรสเผ็ด	C06 น่อง ไก่ทอดเกาหลี (0.32)	C14 ผสม ไก่ทอดเกาหลี (0.31)	ปีกไก่ทอดรสลาบ Size L (0.25)	K16 ไก่ทอดเกาหลี (0.18)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.17)
ข้าวไก่ทอดและกิมจิ	ข้าวกุ้งทอดพริกกระเทียม (0.59)	ข้าวกุ้งทอดกระเทียมกรอบ (0.58)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.50)	A10 ไก่ป๊อปราดชีสซอส (0.47)	ข้าวกุ้งทอดราดซอสเลม่อน (0.47)
ข้าวผัดกิมจิไก่ทอดลาบ ไข่ดองซีอิ้ว	K01 ไก่ทอดเกาหลี (0.74)	M01 ข้าวยำบิบิมบับ (0.56)	M03 ซุปกิมจิ (0.56)	ข้าวผัดกิมจิไก่ทอดไข่กุ้งล้น (0.55)	S05 ปลาหมึกทอด รสเกลือกระเทียม (0.55)
ข้าวไก่ทอดเทอริยากิรสเผ็ด	ข้าวกุ้งทอดกระเทียมกรอบ (0.49)	ข้าวกุ้งทอดราดซอสเลม่อน (0.42)	ปลาหมึกทอดเกาหลี (0.32)	ข้าวกุ้งทอดสไปซี่มาโย (0.30)	C16 ผสม ไก่ทอดเกาหลี (0.26)
